user_id,total_spending_idr,avg_txn_idr,median_txn_idr,max_txn_idr,txn_count,std_amount_idr,weekend_ratio,night_ratio,month_start_ratio,month_end_ratio,above_avg_ratio,spike_ratio,unique_categories,unique_merchants,active_months,fraud_ratio,avg_dist_merchant,spending_cov,impulse_score,cat_belanja_online,cat_elektronik,cat_fashion_&_pakai,cat_hiburan,cat_investasi_&_asu,cat_kecantikan_&_pe,cat_kesehatan,cat_kesehatan_&_kec,cat_makanan_&_minum,cat_olahraga_&_gym,cat_pendidikan,cat_properti_&_reno,cat_pulsa_&_data,cat_restoran_&_kafe,cat_sembako_&_kebut,cat_transportasi,cat_travel_&_hotel,dominant_payment,gender,age,cluster,spending_persona,persona_encoded
BUDU00001,1742100,67003.84615384616,48250.0,325000,26,65816.58441924334,0.2692307692307692,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.0,0.07692307692307693,8,23,10,0.0,0.3651961538461539,0.9822806927847579,0.1635,0,0,454300,70000,0,0,200800,0,509400,0,125900,0,205900,0,101400,74400,0,Gopay,P,37.0,0,Rational Spender,2
BUDU00002,550900,23952.17391304348,14600.0,82200,23,21682.310962986674,0.21739130434782608,0.2608695652173913,0.13043478260869565,0.08695652173913043,0.0,0.17391304347826086,5,20,12,0.043478260869565216,0.1552304347826087,0.9052335308562234,0.1804,0,0,0,0,0,0,0,0,167900,0,168900,0,71800,0,79200,63100,0,Gopay,P,40.0,0,Rational Spender,2
BUDU00003,328600,16430.0,11050.0,35800,20,10938.34876405989,0.35,0.1,0.15,0.0,0.0,0.1,5,14,10,0.0,0.28696,0.6657546417565362,0.1675,0,0,0,0,0,0,0,0,37300,0,33100,0,29100,0,198100,31000,0,Tunai,P,18.0,0,Rational Spender,2
BUDU00004,1929600,60300.0,37450.0,275000,32,55764.17511096575,0.375,0.1875,0.21875,0.1875,0.0,0.0625,8,22,12,0.0,0.06408125,0.9247790233991003,0.1969,0,0,387200,28700,0,0,179600,0,564100,0,154000,0,80500,0,440600,94900,0,Gopay,P,42.0,2,Emotional Spender,0
BUDU00005,38001800,666698.245614035,527200.0,4050000,57,692623.6368463726,0.3684210526315789,0.14035087719298245,0.10526315789473684,0.3333333333333333,0.24561403508771928,0.14035087719298245,10,38,11,0.03508771929824561,0.15225964912280704,1.0388862448684864,0.2412,5576100,4611700,5546700,2061800,0,3775600,0,0,7115000,527200,0,0,0,4488000,0,2326100,1973600,Kartu Kredit,L,44.0,2,Emotional Spender,0
BUDU00006,40700600,714045.6140350878,554800.0,3150000,57,591376.4806033267,0.49122807017543857,0.15789473684210525,0.12280701754385964,0.19298245614035087,0.3508771929824561,0.10526315789473684,10,40,12,0.0,0.15352456140350876,0.8282054661206375,0.3053,6160400,4248700,5097200,5714000,0,3245700,0,0,2647600,1801400,0,0,0,8356000,0,1918500,1511100,Kartu Debit,L,46.0,2,Emotional Spender,0
BUDU00007,5691600,177862.5,142200.0,448500,32,118552.11117696777,0.28125,0.25,0.1875,0.125,0.0,0.09375,9,28,11,0.0,0.060828125,0.6665379783651291,0.1875,1417900,0,490300,309200,0,0,0,742700,1851000,0,123700,0,125600,0,201000,430200,0,Gopay,L,38.0,2,Emotional Spender,0
BUDU00008,13102000,198515.15151515152,145200.0,700000,66,158536.7768470572,0.2727272727272727,0.13636363636363635,0.16666666666666666,0.16666666666666666,0.0,0.09090909090909091,9,40,12,0.015151515151515152,0.30973636363636364,0.798612980606455,0.15,2101700,0,2159100,1552000,0,0,0,811500,3413000,0,902000,0,214400,0,1144500,803800,0,Gopay,L,42.0,2,Emotional Spender,0
BUDU00009,50751000,611457.8313253012,442900.0,3750000,83,631360.5956477668,0.4819277108433735,0.1927710843373494,0.13253012048192772,0.24096385542168675,0.1686746987951807,0.10843373493975904,10,46,12,0.024096385542168676,0.27575662650602406,1.0325496923955124,0.2765,5858800,4282900,4342600,3858900,0,3584400,0,0,14399000,829700,0,0,0,11309800,0,1165900,1119000,Kartu Debit,P,44.0,2,Emotional Spender,0
BUDU00010,9746200,165189.83050847458,119600.0,515700,59,122347.19631655847,0.3898305084745763,0.22033898305084745,0.15254237288135594,0.2542372881355932,0.0,0.06779661016949153,9,37,12,0.01694915254237288,0.3596033898305085,0.7406460551473343,0.2127,2233300,0,1434300,684000,0,0,0,299300,2471600,0,384700,0,198300,0,1538600,502100,0,Gopay,P,18.0,2,Emotional Spender,0
BUDU00011,5136600,171220.0,122350.0,701800,30,142889.54113411254,0.36666666666666664,0.23333333333333334,0.13333333333333333,0.36666666666666664,0.0,0.13333333333333333,7,21,10,0.03333333333333333,0.19722,0.834537677456562,0.2183,1769500,0,143000,169500,0,0,0,0,1810000,0,109300,0,0,0,661800,473500,0,Kartu Debit,L,31.0,0,Rational Spender,2
BUDU00012,2672700,65187.80487804878,53200.0,262500,41,51601.01353230357,0.34146341463414637,0.17073170731707318,0.07317073170731707,0.2682926829268293,0.0,0.07317073170731707,7,26,12,0.024390243902439025,0.328,0.7915746454238959,0.1817,0,0,195500,0,0,0,51000,0,1303500,0,160500,0,129100,0,465000,368100,0,Gopay,L,49.0,2,Emotional Spender,0
BUDU00013,53982000,556515.4639175257,391100.0,2659800,97,530677.9275409987,0.36082474226804123,0.18556701030927836,0.21649484536082475,0.24742268041237114,0.18556701030927836,0.09278350515463918,10,49,12,0.010309278350515464,0.12360103092783505,0.9535726533191967,0.233,11057400,983600,5913600,2991800,0,5375200,0,0,9523200,4557900,0,0,0,7893700,0,2204400,3481200,Kartu Kredit,L,23.0,2,Emotional Spender,0
BUDU00014,1203300,52317.391304347824,46600.0,137400,23,33036.655292044554,0.34782608695652173,0.2608695652173913,0.2608695652173913,0.13043478260869565,0.0,0.08695652173913043,6,19,9,0.0,0.30328695652173915,0.631466028186674,0.213,0,0,121900,0,0,0,94700,0,97700,0,178100,0,0,0,389500,321400,0,Gopay,P,28.0,0,Rational Spender,2
BUDU00015,267121800,3297800.0,2052600.0,16750800,81,3235219.5683987197,0.3333333333333333,0.18518518518518517,0.19753086419753085,0.20987654320987653,0.8765432098765432,0.13580246913580246,10,49,12,0.012345679012345678,0.06777407407407407,0.9810235819026987,0.3679,12234100,60029300,16873300,12783300,21694400,4986200,0,0,0,4572900,0,19733200,0,69385600,0,0,44829500,Kartu Kredit,P,34.0,1,Impulsive Spender,1
BUDU00016,5515800,149075.67567567568,123600.0,539600,37,114974.25655193285,0.2702702702702703,0.16216216216216217,0.21621621621621623,0.10810810810810811,0.0,0.05405405405405406,8,29,12,0.0,0.20755405405405405,0.7712475964359685,0.1514,998900,0,396300,946000,0,0,0,0,1989000,0,252600,0,85100,0,494000,353900,0,Gopay,P,35.0,0,Rational Spender,2
BUDU00017,7018200,167100.0,122600.0,722900,42,147687.0323088494,0.3333333333333333,0.2619047619047619,0.16666666666666666,0.14285714285714285,0.0,0.09523809523809523,9,36,10,0.0,0.1412404761904762,0.8838242508010137,0.2095,1249400,0,1382800,498800,0,0,0,477500,1126900,0,261700,0,750800,0,813900,456400,0,Gopay,P,35.0,2,Emotional Spender,0
BUDU00018,8718300,170947.0588235294,126800.0,647500,51,147560.8218368835,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.1568627450980392,0.0,0.09803921568627451,8,37,11,0.0,0.16039019607843139,0.8631960260235434,0.1706,1261800,0,1343000,672100,0,0,0,899700,2642400,0,350700,0,0,0,1188500,360100,0,Kartu Debit,P,33.0,2,Emotional Spender,0
BUDU00019,1499600,53557.142857142855,33250.0,235200,28,49118.56727138578,0.32142857142857145,0.25,0.21428571428571427,0.10714285714285714,0.0,0.07142857142857142,6,21,12,0.0,0.18773214285714285,0.9171244889295824,0.1982,0,0,127700,0,0,0,197500,0,594000,0,0,0,87900,0,142700,349800,0,Gopay,P,47.0,0,Rational Spender,2
BUDU00020,1452100,60504.166666666664,45350.0,237500,24,51469.184357300604,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.0,0.125,6,19,11,0.0,0.34874166666666667,0.8506717337478236,0.0979,0,0,152400,0,0,0,0,0,633500,0,181000,0,149700,0,199200,136300,0,Gopay,P,24.0,0,Rational Spender,2
BUDU00021,59570200,709169.0476190476,558450.0,2537600,84,545188.3459176134,0.5119047619047619,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.32142857142857145,0.09523809523809523,10,50,12,0.0,0.172625,0.7687706446693066,0.322,12130800,13510300,6398400,9086100,0,2256400,0,0,8715000,530600,0,0,0,2418300,0,2955300,1569000,Kartu Kredit,P,47.0,2,Emotional Spender,0
BUDU00022,1097300,52252.380952380954,36300.0,145500,21,37148.11730152174,0.23809523809523808,0.0,0.047619047619047616,0.19047619047619047,0.0,0.14285714285714285,5,15,10,0.0,0.13162380952380953,0.7109363559026306,0.1048,0,0,49500,0,0,0,0,0,349500,0,0,0,83900,0,434000,180400,0,Tunai,L,28.0,0,Rational Spender,2
BUDU00023,1222300,50929.166666666664,46200.0,107800,24,23670.169800949825,0.25,0.08333333333333333,0.2916666666666667,0.16666666666666666,0.0,0.041666666666666664,8,18,12,0.0,0.2280875,0.4647664854968468,0.1188,0,0,211600,44600,0,0,152100,0,284500,0,29100,0,31500,0,437100,31800,0,Tunai,P,19.0,0,Rational Spender,2
BUDU00024,263800,18842.85714285714,13200.0,44700,14,14611.360926753816,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.0,0.0,4,12,9,0.0,0.23798571428571427,0.7754323463781404,0.1857,0,0,0,0,0,0,0,0,0,0,43600,0,39200,0,105400,75600,0,Tunai,L,43.0,0,Rational Spender,2
BUDU00025,9298200,189759.18367346938,154700.0,735000,49,143797.02552319964,0.3877551020408163,0.08163265306122448,0.14285714285714285,0.1836734693877551,0.0,0.061224489795918366,8,32,12,0.0,0.1834469387755102,0.7577869104382335,0.1694,2559900,0,1100300,0,0,0,0,655200,3218700,0,369300,0,384300,0,479000,531500,0,Gopay,P,33.0,2,Emotional Spender,0
BUDU00026,353400,17670.0,9250.0,79200,20,18372.98073401895,0.3,0.25,0.05,0.3,0.0,0.15,6,15,10,0.0,0.29383,1.039783855915051,0.2025,0,0,0,0,0,0,27800,0,79200,0,83900,0,17500,0,98600,46400,0,Gopay,P,30.0,0,Rational Spender,2
BUDU00027,7214900,189865.7894736842,148900.0,665000,38,152486.99594766655,0.3157894736842105,0.13157894736842105,0.05263157894736842,0.21052631578947367,0.0,0.10526315789473684,8,29,12,0.0,0.31437105263157894,0.8031304447755796,0.1658,847000,0,649700,928400,0,0,0,774200,1903700,0,785700,0,0,0,516700,809500,0,Kartu Debit,P,18.0,2,Emotional Spender,0
